rate,Reviews
2.0,"Small size, would want to return but unable to as I was travelling and just now when opened the pack, return window appears to be closed"
2.0,Looking good but It's size is so large.
2.0,It looks like as if you are wearing a very cheap cloth
2.0,At first I did not know which type of material is crepe...so I buy it..but I don't like this material...when it will be wore it could feel very warm in summer..may be it prefer for winter...but it's a summer wear dress...so I am very very disappointed 😞
2.0,"The packaging cam loose as if tried by multiple people, also quality, fabric and look not good"
2.0,Material not good
2.0,"quality of Cloth is not good. Item is not as described. The quality of the item should be described in description as it is...So I think you should be more careful about these things...Which makes it easier for customers to trust you. If you don't fix that, then customers will not be able to trust you from next time...☹️ 4/10"
2.0,Wrong colour sent quality found below average
2.0,I really wanted a hit pink colour dress so ordered this one. It arrived on time but the fabric is poly crepe which means its nt cmfrtable enough to wear  in summer days or outing. The fabric is thin see through. The darker version might be okay to use.
2.0,Have bought this dress but the quality is not that great hence returned
2.0,Not much good as expected with the picture showed
2.0,"Not worth of this price, not satisfied.quality is poor 50% price is enough to this product."
2.0,Fabric is low quality. Doesn't give a good look.
2.0,Not match red color  shade as shown
2.0,Bad dress
2.0,The cloth is not fitting properly.
2.0,"It doesn't look good, kinda cheap stuff"
2.0,"Eventhough it is comfortable,  it doesnt look good on short people"
2.0,It's fabric is very bad 👎. Not suitable to wear in summer season. Colour is good as in figure.
2.0,Worst quality.. Very Cheap
